"ERR127302","ERR127303","ERR127304","ERR127305","ERR127306","ERR127307","ERR127308","ERR127309"
"1",20,15,24,31,31,31,35,30
"10",0,0,0,0,0,0,0,0
"100",1207,1149,1750,1833,1432,1532,1654,1487
"1000",0,0,0,0,0,0,0,0
"10000",17,34,13,0,20,10,8,16
"100008586",0,0,0,0,0,0,0,0
"100009676",86,85,136,122,83,114,104,88
"10001",281,314,344,276,177,245,191,197
"10002",2,0,2,0,2,4,2,0
"10003",48,28,50,26,0,7,6,4
"100033413",0,0,0,0,0,0,0,0
"100033414",0,0,0,0,0,0,0,0
"100033415",0,0,0,0,0,0,0,0
"100033416",0,0,0,0,0,0,0,0
"100033417",0,0,0,0,0,0,0,0
"100033420",0,0,0,0,0,0,0,0
"100033422",0,0,0,0,0,0,0,0
"100033423",0,0,0,0,0,0,0,0
"100033424",0,0,0,0,0,0,0,0
"100033425",0,0,0,0,0,0,0,0
"100033426",0,0,0,0,0,0,0,0
"100033427",0,0,0,0,0,0,0,0
"100033428",0,0,0,0,0,0,0,0
"100033430",0,0,0,0,0,0,0,0
"100033431",0,0,0,0,0,0,0,0
"100033433",0,0,0,0,0,0,0,0
"100033434",0,0,0,0,0,0,0,0
"100033435",0,0,0,0,0,0,0,0
"100033436",0,0,0,0,0,0,0,0
"100033437",0,0,0,0,0,0,0,0
"100033438",0,0,0,0,0,0,0,0
"100033439",0,0,0,0,0,0,0,0
"100033440",0,0,0,0,0,0,0,0
"100033441",0,0,0,0,0,0,0,0
"100033442",0,0,0,0,0,0,0,0
"100033443",0,0,0,0,0,0,0,0
"100033444",0,0,0,0,0,0,0,0
"100033445",0,0,0,0,0,0,0,0
"100033446",0,0,0,0,0,0,0,0
"100033447",0,0,0,0,0,0,0,0
"100033448",0,0,0,0,0,0,0,0
"100033450",0,0,0,0,0,0,0,0
"100033451",0,0,0,0,0,0,0,0
"100033454",0,0,0,0,0,0,0,0
"100033455",0,0,0,0,0,0,0,0
"100033799",0,0,0,0,0,0,0,0
"100033801",0,0,0,0,0,0,0,0
"100033802",0,0,0,0,0,0,0,0
"100033804",0,0,0,0,0,0,0,0
"100033805",0,0,0,0,0,0,0,0
"100033806",0,0,0,0,0,0,0,0
"100033807",0,0,0,0,0,0,0,0
"100033809",0,0,0,0,0,0,0,0
"100033811",0,0,0,0,0,0,0,0
"100033812",0,0,0,0,0,0,0,0
"100033813",0,0,0,0,0,0,0,0
"100033814",0,0,0,0,0,0,0,0
"100033815",0,0,0,0,0,0,0,0
"100033818",0,0,0,0,0,0,0,0
"100033819",0,0,0,0,0,0,0,0
"100033820",0,0,0,0,0,0,0,0
"100033821",0,0,0,0,0,0,0,0
"100033822",0,0,0,0,0,0,0,0
"100036519",0,2,2,4,0,0,0,0
"100036563",0,0,0,0,0,0,0,0
"100036564",0,0,0,0,0,0,0,0
"100036565",0,0,0,0,0,0,0,0
"100036566",0,0,0,0,0,0,0,0
"100036567",0,0,0,0,0,0,0,0
"100037417",1884,1074,1615,2023,2857,2775,3059,2553
"100038246",0,0,0,0,0,0,0,0
"10004",3,9,3,9,0,5,8,2
"100048912",20,30,39,19,19,45,35,27
"100049076",95,102,88,117,108,125,112,84
"100049587",0,0,0,0,0,0,0,0
"10005",449,368,455,606,1152,1127,1195,1045
"10006",738,893,1161,1116,601,786,658,675
"10007",2149,2431,2778,2747,1664,2013,1877,1740
